歌曲,歌手,連結,歌詞
體面 - 電影<前任3：再見前任>插曲,于文文 (Kelly),https://www.kkbox.com/tw/tc/song/6KC00Ga-s4JPScw1PScw10XL-index.html,
連名帶姓,aMEI (張惠妹),https://www.kkbox.com/tw/tc/song/uh200LOYH83XK033XK0330XL-index.html,
等你下課 (Waiting For You),周杰倫 (Jay Chou),https://www.kkbox.com/tw/tc/song/uzP009lOOW3GC9BnGC9Bn0XL-index.html,
如果雨之後 (The Chaos After You),Eric 周興哲,https://www.kkbox.com/tw/tc/song/6JV00Tm.KC3i4.Yzi4.Yz0XL-index.html,
幾分之幾 (You Complete Me) - 電影<花甲大人轉男孩>主題曲,盧廣仲 (Crowd Lu),https://www.kkbox.com/tw/tc/song/kWs008lQNW3DnqqBDnqqB0XL-index.html,
我們不一樣,大壯 (DZ),https://www.kkbox.com/tw/tc/song/LgL0097IOYIEk8YCEk8YC0XL-index.html,
偉大的渺小 (Little Big Us),林俊傑 (JJ Lin),https://www.kkbox.com/tw/tc/song/P1XYZ00wHP3K3gQdjgQdj0X4-index.html,
黑夜問白天 (53 Dawns),林俊傑 (JJ Lin),https://www.kkbox.com/tw/tc/song/4wm00L1P3K3WIDBjWIDBj0XL-index.html,
慢慢喜歡你 (Growing Fond of You),莫文蔚 (Karen Mok),https://www.kkbox.com/tw/tc/song/o4V00-ZSPKJr3hTPr3hTP0XL-index.html,
SPOTLIGHT,頑童MJ116,https://www.kkbox.com/tw/tc/song/8Xl00G4SWaIO7spWO7spW0XL-index.html,
辣台妹 HOT CHICK,頑童MJ116,https://www.kkbox.com/tw/tc/song/tGs00WKSWaIkZuVWkZuVW0XL-index.html,
年少有為,李榮浩,https://www.kkbox.com/tw/tc/song/ALd00HOLIT3RLFMbRLFMb0XL-index.html,
Will You Remember Me - 緯來戲劇<三流之路>片頭曲、八大戲劇台<擁抱太陽的月亮』片尾曲、台視<孤單又燦爛的神-鬼怪>片頭曲,李玖哲 (Nicky Lee),https://www.kkbox.com/tw/tc/song/7Fafvgd00w04703Q7vQ7v0Wn-index.html,
不愛我就拉倒 (If You Don’t Love Me  It’s Fine),周杰倫 (Jay Chou),https://www.kkbox.com/tw/tc/song/3ed00-n4qCnrbcVDrbcVD0XL-index.html,
讓我為你唱情歌,蕭敬騰 (Jam Hsiao),https://www.kkbox.com/tw/tc/song/HcB00EIPZ13NPt03NPt030XL-index.html,
說散就散 - "前任3: 再見前任" 電影主題曲,袁婭維 (TIA RAY),https://www.kkbox.com/tw/tc/song/cBv005MCPK39KJwF9KJwF0XL-index.html,
倒數,G.E.M.鄧紫棋,https://www.kkbox.com/tw/tc/song/kzp00Y9ONDJp1bj9p1bj90XL-index.html,
身後,aMEI (張惠妹),https://www.kkbox.com/tw/tc/song/iRi00D9E4C3KomtjKomtj0XL-index.html,
學貓叫,小潘潘 (潘柚彤)+小峰峰 (陳峰),https://www.kkbox.com/tw/tc/song/7gz009P4GKnFSRQ5FSRQ50XL-index.html,
戒菸 (Quit Smoking),李榮浩,https://www.kkbox.com/tw/tc/song/ila00S9IOYIeIXWCeIXWC0XL-index.html,
愛了很久的朋友,田馥甄 (Hebe),https://www.kkbox.com/tw/tc/song/nxV004OPL8Z74cZr74cZr0XL-index.html,
SOUTH SIDE,頑童MJ116,https://www.kkbox.com/tw/tc/song/9Gz00Y44LMIogcY8ogcY80XL-index.html,
偷故事的人,aMEI (張惠妹),https://www.kkbox.com/tw/tc/song/diP00.sLX03uKuVfuKuVf0XL-index.html,
無窮 (Endlessness) - 韓劇<當你沉睡時>片頭曲、<沒有名字的女人>片尾曲,吳汶芳 (Fang Wu),https://www.kkbox.com/tw/tc/song/JGE008H8cK3C.lTNC.lTN0XL-index.html,
成全,林宥嘉 (Yoga Lin),https://www.kkbox.com/tw/tc/song/.gO005GG0H38xiqv8xiqv0XL-index.html,
我多喜歡你，你會知道 - 網劇<致我們單純的小美好>推廣曲,Various Artists,https://www.kkbox.com/tw/tc/song/Ruo00-aDZaIrDn5OrDn5O0XL-index.html,
愛過你有多久就有多痛 (Love Hurts),蕭秉治Xiao Bing Chih,https://www.kkbox.com/tw/tc/song/AXY00-0DXSnpeas5peas50XL-index.html,
追光者 (The Light Runner),蔡佩軒 (Ariel Tsai),https://www.kkbox.com/tw/tc/song/1m600Lq08-3YLJB7YLJB70XL-index.html,
2030,頑童MJ116,https://www.kkbox.com/tw/tc/song/RjQ00XH0kYImiRDgmiRDg0XL-index.html,
星火 - 電影<鬥魚>主題曲,飛兒樂團 (F.I.R.),https://www.kkbox.com/tw/tc/song/TWr00TYDLPJhS9z5hS9z50XL-index.html,
少年董 (DON),頑童MJ116,https://www.kkbox.com/tw/tc/song/U-F00Xn.aH3o5uhfo5uhf0XL-index.html,
漂向北方 (Stranger in the North) - Live at 13th KKBOX Music Awards,黃明志 G.E.M.鄧紫棋,https://www.kkbox.com/tw/tc/song/9WO00GYKO4JPBlpXPBlpX0XL-index.html,
言不由衷 (The Prayer),徐佳瑩 (LaLa Hsu),https://www.kkbox.com/tw/tc/song/6m800A10cK3Gk2UNGk2UN0XL-index.html,
傲嬌,aMEI (張惠妹),https://www.kkbox.com/tw/tc/song/Hqf00HdE4C3RyZljRyZlj0XL-index.html,
Despacito 緩緩 - Mandarin Version,Luis Fonsi,https://www.kkbox.com/tw/tc/song/aOP00YMK3-3pRt1VpRt1V0XL-index.html,
我們 - 《後來的我們》電影主題曲,陳奕迅 (Eason Chan),https://www.kkbox.com/tw/tc/song/wpW00W.9cGZlC9Z7lC9Z70XL-index.html,
我好想好想你 (Missing You),蕭秉治Xiao Bing Chih,https://www.kkbox.com/tw/tc/song/xuv00MP9XSnZi08.Zi08.0XL-index.html,
走心,賀敬軒 (CoCo),https://www.kkbox.com/tw/tc/song/K-500x3PNOZ2aYaN2aYaN0XL-index.html,
123我愛你,新樂塵符-賀子玲,https://www.kkbox.com/tw/tc/song/ABn00ALTsKZHcJZRHcJZR0XL-index.html,
半句再見,孫燕姿 (Yanzi Sun),https://www.kkbox.com/tw/tc/song/YIF00X6PN4ZmTjPZmTjPZ0XL-index.html,
你說了算,aMEI (張惠妹),https://www.kkbox.com/tw/tc/song/5Wq008dE4C3Df21jDf21j0XL-index.html,
什麼歌 (What A Song) - 電影<捉妖記2>主題曲,五月天 (Mayday),https://www.kkbox.com/tw/tc/song/upZ00K9Lk4JUNql1UNql10XL-index.html,
忘課 (Lessons in Love) - 電視劇<前男友不是人>片尾曲,楊丞琳 (Rainie Yang),https://www.kkbox.com/tw/tc/song/KDT0063LMKnAwDapAwDap0XL-index.html,
終於愛情 - 電影<脫單告急>主題曲,陳嘉樺 (Ella Chen),https://www.kkbox.com/tw/tc/song/cki0051CYOZ8R6.z8R6.z0XL-index.html,
和平分手,梁文音 (Rachel Liang),https://www.kkbox.com/tw/tc/song/E-K00YJHq4npGLo.pGLo.0XL-index.html,
十七 (17),S.H.E,https://www.kkbox.com/tw/tc/song/RQq009rYJXJG-5BTG-5BT0XL-index.html,
稻草 (Straw) - (電視劇《高塔公主》片頭曲),鄭茵聲 (Alina Cheng),https://www.kkbox.com/tw/tc/song/vD200XXPPKZnMy63nMy630XL-index.html,
有去無回 (Messages Seen),陳零九 (Nine Chen),https://www.kkbox.com/tw/tc/song/MVD00GJXrSZOeoNROeoNR0XL-index.html,
我的事不關你的事 (Not Your Business) - 八大古裝電視劇<那年花開月正圓>片頭曲,賴慈泓,https://www.kkbox.com/tw/tc/song/a9h004lU1OJ7qhFh7qhFh0XL-index.html,
買榜,Various Artists,https://www.kkbox.com/tw/tc/song/qe800EIHI43NP5W7NP5W70XL-index.html,
黏黏 (The Way You Make Me Feel),Eric 周興哲,https://www.kkbox.com/tw/tc/song/kv6008J.KC3CkAvzCkAvz0XL-index.html,
全是愛,蕭敬騰 (Jam Hsiao),https://www.kkbox.com/tw/tc/song/Niv00S3PZ13dwGj3dwGj30XL-index.html,
走跳 (Zou Tiao),頑童MJ116,https://www.kkbox.com/tw/tc/song/Rhf00OmDlSn.gJcL.gJcL0XL-index.html,
壞的好人,aMEI (張惠妹),https://www.kkbox.com/tw/tc/song/rlc00W9E4C3kFZ.jkFZ.j0XL-index.html,
自然凋謝 (Almost) - 三立週五華劇<姊的時代>插曲,孫盛希 (Shi Shi),https://www.kkbox.com/tw/tc/song/aXF00xH9W4Z33YfR33YfR0XL-index.html,
小瓶子 (Message In A Bottle) - 電影<假如王子睡著了>印象曲,林俊傑 (JJ Lin),https://www.kkbox.com/tw/tc/song/DaG00PXP3K3bRy3jbRy3j0XL-index.html,
最暖的憂傷 - 電視劇＜溫暖的弦＞主題曲,田馥甄 (Hebe),https://www.kkbox.com/tw/tc/song/XLm00.3SWWZsG0.rsG0.r0XL-index.html,
